Mean,Median,StdDev,Variance,RMS,Max,Skewness,Kurtosis,FileName
-0.005928984,-0.000871624,0.024511668,0.000600822,0.025217085,0.0701296,-0.122318177,-0.793988518,1000_FGBSIRFB
-0.0065713,-0.001384217,0.024596766,0.000605001,0.025457985,0.07372192,-0.126737008,-0.788080121,1000_FGBSIRFB
-0.006906772,-0.001770389,0.024687067,0.000609451,0.025633579,0.06807779,-0.12789738,-0.778385684,1000_FGBSIRFB
-0.00747834,-0.002383856,0.024547171,0.000602564,0.02565961,0.0682784,-0.116974741,-0.768160769,1000_FGBSIRFB
-0.007060031,-0.001876823,0.02460149,0.000605233,0.025593036,0.06892308,-0.120217199,-0.768058047,1000_FGBSIRFB
-0.006701054,-0.001420177,0.024610781,0.000605691,0.025505308,0.06715531,-0.121158072,-0.780470243,1000_FGBSIRFB
-0.006598258,-0.001470329,0.024532096,0.000601824,0.025402506,0.06801013,-0.121349338,-0.775250132,1000_FGBSIRFB
-0.007096503,-0.001966931,0.024501037,0.000600301,0.025506625,0.07018758,-0.117772673,-0.760932639,1000_FGBSIRFB
-0.006657608,-0.001524039,0.024569587,0.000603665,0.025454167,0.06871213,-0.123109716,-0.773659269,1000_FGBSIRFB
-0.005956742,-0.000913,0.024583472,0.000604347,0.0252934,0.06995466,-0.126227409,-0.771120914,1000_FGBSIRFB
-0.006251347,-0.00106667,0.024635408,0.000606903,0.025414731,0.06974605,-0.129811271,-0.785290897,1000_FGBSIRFB
-0.006335253,-0.001406686,0.024643114,0.000607283,0.025442963,0.06914188,-0.126856138,-0.792305234,1000_FGBSIRFB
-0.006118026,-0.000874919,0.024658622,0.000608048,0.025404796,0.06971832,-0.120607777,-0.773424696,1000_FGBSIRFB
-0.006459888,-0.001519782,0.024569467,0.000603659,0.025403054,0.07087632,-0.125931393,-0.780659875,1000_FGBSIRFB
-0.006129684,-0.000877107,0.024636403,0.000606952,0.025386045,0.06878956,-0.127229415,-0.788226183,1000_FGBSIRFB
-0.00648096,-0.001617079,0.024568006,0.000603587,0.025407008,0.0732904,-0.13285528,-0.792823915,1000_FGBSIRFB
-0.007106525,-0.00200356,0.024579386,0.000604146,0.025584667,0.0716401,-0.136288695,-0.814697832,1000_FGBSIRFB
-0.006885143,-0.002002229,0.024463315,0.000598454,0.025412318,0.07081025,-0.128921078,-0.786150107,1000_FGBSIRFB
-0.0067486,-0.001800783,0.024416009,0.000596142,0.025330068,0.06846426,-0.128586585,-0.793949712,1000_FGBSIRFB
-0.007003938,-0.001900244,0.024433235,0.000596983,0.025415847,0.06759193,-0.135152189,-0.796297374,1000_FGBSIRFB
-0.006935807,-0.002042726,0.024545684,0.000602491,0.025505342,0.06717502,-0.127928448,-0.813471203,1000_FGBSIRFB
-0.006348243,-0.001209889,0.024392704,0.000595004,0.0252038,0.06712444,-0.135253878,-0.79337795,1000_FGBSIRFB
-0.006662604,-0.001867446,0.024539948,0.000602209,0.025426872,0.06783518,-0.117020307,-0.784898196,1000_FGBSIRFB
-0.00628292,-0.001445887,0.024560867,0.000603236,0.025350299,0.07131393,-0.11850348,-0.769939898,1000_FGBSIRFB
-0.006451458,-0.001237946,0.024495573,0.000600033,0.025329453,0.06627639,-0.127707889,-0.792034797,1000_FGBSIRFB
-0.006535043,-0.001169335,0.024589595,0.000604648,0.025441721,0.06979976,-0.124743725,-0.781337636,1000_FGBSIRFB
-0.006635241,-0.001560757,0.024554552,0.000602926,0.025433813,0.06891744,-0.122238431,-0.790833466,1000_FGBSIRFB
-0.006352881,-0.001285402,0.02448738,0.000599632,0.025296594,0.0718627,-0.132219122,-0.782567064,1000_FGBSIRFB
-0.006585761,-0.001576107,0.024581019,0.000604227,0.025446512,0.07256939,-0.127955773,-0.791196332,1000_FGBSIRFB
-0.006783425,-0.002682498,0.025269509,0.000638548,0.026162664,0.08335278,0.08153766,-0.199052074,1000_FGBSORFB
-0.006418451,-0.002074984,0.025384168,0.000644356,0.026181555,0.08744176,0.112383213,-0.139720326,1000_FGBSORFB
-0.006286771,-0.001942696,0.025292884,0.00063973,0.026060993,0.08281285,0.094140228,-0.190687813,1000_FGBSORFB
